Model No.,Time(s),Accuracy
Model-0,785.7722775936127,0.7900000214576721
Model-1,783.369136095047,0.8100000023841858
Model-2,796.3203144073486,0.7739999890327454
Model-3,788.5765559673309,0.7940000295639038
Model-4,789.9192814826965,0.7699999809265137
Model-5,787.1748549938202,0.8100000023841858
Model-6,795.6931014060974,0.8040000200271606
Model-7,793.6437389850616,0.8360000252723694
Model-8,803.4346604347229,0.828000009059906
Model-9,802.1327245235443,0.8379999995231628
Model-10,782.027090549469,0.7360000014305115
Model-11,779.8879806995392,0.8420000076293945
Model-12,775.1497120857239,0.7940000295639038
Model-13,772.970465183258,0.8159999847412109
Model-14,772.7109570503235,0.8019999861717224
Model-15,770.9551653862,0.7940000295639038
Model-16,773.3262271881104,0.8240000009536743
Model-17,775.8531119823456,0.7820000052452087
Model-18,775.3709433078766,0.7680000066757202
Model-19,778.1445834636688,0.800000011920929
Model-20,776.4918727874756,0.7680000066757202
Model-21,782.3371751308441,0.7139999866485596
Model-22,779.7409496307373,0.7940000295639038
Model-23,776.1608552932739,0.7639999985694885
Model-24,779.5494019985199,0.8059999942779541
Model-25,779.4736342430115,0.7919999957084656
Model-26,781.6278331279755,0.8019999861717224
Model-27,776.9238927364349,0.8339999914169312
Model-28,776.0675268173218,0.7960000038146973
Model-29,777.6123673915863,0.828000009059906
